Numero	mot_make 	mot_address 	mot_all 	mot_3d 	mot_our 	mot_over 	mot_remove 	mot_internet 	mot_order 	mot_mail 	mot_receive 	mot_will 	mot_people 	mot_report 	mot_addresses 	mot_free 	mot_business 	mot_email 	mot_you 	mot_credit 	mot_your 	mot_font 	mot_000 	mot_money 	mot_hp 	mot_hpl 	mot_george 	mot_650 	mot_lab 	mot_labs 	mot_telnet 	mot_857 	mot_data 	mot_415 	mot_85 	mot_technology 	mot_1999 	mot_parts 	mot_pm 	mot_direct 	mot_cs 	mot_meeting 	mot_original 	mot_project 	mot_re 	mot_edu 	mot_table 	mot_conference 	char_freq_; 	char_freq_( 	char_freq_[ 	char_freq_! 	char_freq_$ 	capital_run_length_averag	capital_run_length_longes	capital_run_length_total 	Spam
37.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.44	0.0	0.87	0.0	4.1	12.0	29.0	Spam
38.0	0.0	0.0	0.48	0.0	1.5	0.0	0.48	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.48	0.97	0.0	2.4	0.0	2.4	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.08	0.0	0.49	0.24	5.4	78.0	240.0	Spam
39.0	0.0	0.48	0.48	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.48	0.0	0.97	1.5	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.96	0.0	3.1	61.0	190.0	Spam
40.0	0.0	0.41	1.7	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.41	0.0	0.83	2.1	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.07	0.0	0.75	0.0	3.8	120.0	290.0	Spam
41.0	0.3	0.0	0.0	0.0	0.61	0.92	0.0	2.5	0.0	0.0	0.0	0.3	1.5	0.0	0.0	0.0	0.0	0.3	2.8	0.0	0.61	0.0	0.3	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.21	0.21	2.1	30.0	230.0	Spam
42.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.34	0.0	0.67	0.0	4.0	12.0	28.0	Spam
43.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.35	0.0	0.71	0.0	4.0	12.0	28.0	Spam
44.0	0.0	0.0	0.55	0.0	1.1	0.0	0.18	0.0	0.0	0.0	0.0	0.18	0.92	0.0	0.18	0.0	0.37	0.37	3.2	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.43	0.0	1.3	4.0	68.0	Spam
45.0	0.0	0.0	0.0	0.0	0.52	0.0	0.26	0.52	0.0	0.26	0.26	0.52	0.0	0.0	0.0	0.26	1.6	0.26	1.8	2.1	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.81	0.04	2.1	38.0	340.0	Spam
46.0	0.15	0.45	1.0	0.0	0.45	0.0	0.0	1.8	0.6	0.75	0.0	0.9	0.3	0.0	0.3	0.0	0.0	0.0	4.1	0.0	1.5	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.25	0.0	1.3	0.07	5.3	130.0	770.0	Spam
47.0	0.18	0.0	0.18	0.0	1.6	0.36	0.06	0.06	0.06	0.12	0.06	0.54	0.3	0.06	0.0	0.0	0.72	0.06	4.5	0.24	1.1	0.0	0.84	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06	0.0	0.0	0.0	0.01	0.05	0.0	0.01	0.17	1.7	12.0	440.0	Spam
48.0	0.49	0.0	0.99	0.0	0.0	0.99	0.0	0.0	0.0	0.99	0.99	2.5	0.49	0.0	0.0	5.0	0.99	0.0	3.5	0.0	2.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.17	0.0	1.5	8.0	94.0	Spam
49.0	0.46	0.3	0.46	0.0	0.05	0.12	0.05	0.28	0.43	0.74	0.25	0.97	0.56	1.2	0.0	0.25	0.43	0.02	3.2	0.0	1.5	0.0	1.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.06	0.0	0.32	0.76	5.9	190.0	3000.0	Spam
50.0	0.46	0.46	0.26	0.0	0.0	0.33	0.06	0.33	0.0	1.1	0.39	0.73	0.79	0.0	0.26	0.26	0.0	0.26	3.5	0.0	0.66	0.0	0.19	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.0	0.28	0.23	3.9	40.0	900.0	Spam
51.0	0.0	1.9	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0	3.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	12.0	33.0	Spam
52.0	0.73	0.36	1.1	0.0	0.0	0.73	0.73	1.1	0.36	0.36	0.0	0.36	0.0	0.0	0.0	1.1	0.36	0.36	2.2	2.2	2.2	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.5	0.33	3.3	30.0	180.0	Spam
53.0	0.06	0.12	0.77	0.0	0.19	0.32	0.38	0.0	0.06	0.0	0.0	0.64	0.25	0.0	0.12	0.0	0.0	0.12	1.7	0.06	0.7	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.04	0.03	0.0	0.24	0.07	1.7	43.0	750.0	Spam
54.0	0.0	1.3	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.2	0.0	0.2	0.6	3.8	17.0	69.0	Spam
55.0	0.73	0.36	0.73	0.0	0.0	0.73	0.73	1.1	0.36	0.36	0.0	0.36	0.0	0.0	0.0	1.1	0.36	0.36	2.2	2.2	2.2	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.5	0.33	3.3	30.0	180.0	Spam
