Numero	mot_make 	mot_address 	mot_all 	mot_3d 	mot_our 	mot_over 	mot_remove 	mot_internet 	mot_order 	mot_mail 	mot_receive 	mot_will 	mot_people 	mot_report 	mot_addresses 	mot_free 	mot_business 	mot_email 	mot_you 	mot_credit 	mot_your 	mot_font 	mot_000 	mot_money 	mot_hp 	mot_hpl 	mot_george 	mot_650 	mot_lab 	mot_labs 	mot_telnet 	mot_857 	mot_data 	mot_415 	mot_85 	mot_technology 	mot_1999 	mot_parts 	mot_pm 	mot_direct 	mot_cs 	mot_meeting 	mot_original 	mot_project 	mot_re 	mot_edu 	mot_table 	mot_conference 	"char_freq_; "	char_freq_( 	char_freq_[ 	char_freq_! 	char_freq_$ 	char_freq_# 	capital_run_length_averag	capital_run_length_longes	capital_run_length_total 	Spam
41	0.3	0	0	0	0.61	0.92	0	2.5	0	0	0	0.3	1.5	0	0	0	0	0.3	2.8	0	0.61	0	0.3	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.21	0.21	0	2.1	30	2.3E2	Spam
42	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0.34	0	0.67	0	0	4	12	28	Spam
43	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0.35	0	0.71	0	0	4	12	28	Spam
44	0	0	0.55	0	1.1	0	0.18	0	0	0	0	0.18	0.92	0	0.18	0	0.37	0.37	3.2	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0.43	0	0	1.3	4	68	Spam
45	0	0	0	0	0.52	0	0.26	0.52	0	0.26	0.26	0.52	0	0	0	0.26	1.6	0.26	1.8	2.1	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.81	0.04	0.15	2.1	38	3.4E2	Spam
46	0.15	0.45	1	0	0.45	0	0	1.8	0.6	0.75	0	0.9	0.3	0	0.3	0	0	0	4.1	0	1.5	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0.25	0	1.3	0.07	0	5.3	1.3E2	7.7E2	Spam
47	0.18	0	0.18	0	1.6	0.36	0.06	0.06	0.06	0.12	0.06	0.54	0.3	0.06	0	0	0.72	0.06	4.5	0.24	1.1	0	0.84	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.06	0	0	0	0.01	0.05	0	0.01	0.17	0	1.7	12	4.4E2	Spam
48	0.49	0	0.99	0	0	0.99	0	0	0	0.99	0.99	2.5	0.49	0	0	5	0.99	0	3.5	0	2	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0.17	0	0	1.5	8	94	Spam
49	0.46	0.3	0.46	0	0.05	0.12	0.05	0.28	0.43	0.74	0.25	0.97	0.56	1.2	0	0.25	0.43	0.02	3.2	0	1.5	0	1	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.06	0	0.32	0.76	0.15	5.9	1.9E2	3E3	Spam
50	0.46	0.46	0.26	0	0	0.33	0.06	0.33	0	1.1	0.39	0.73	0.79	0	0.26	0.26	0	0.26	3.5	0	0.66	0	0.19	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.08	0	0.28	0.23	0.08	3.9	40	9E2	Spam
51	0	1.9	0	0	1.9	0	0	0	0	0	0	1.9	0	0	0	0	0	0	1.9	0	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	12	33	Spam
52	0.73	0.36	1.1	0	0	0.73	0.73	1.1	0.36	0.36	0	0.36	0	0	0	1.1	0.36	0.36	2.2	2.2	2.2	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0.5	0.33	0	3.3	30	1.8E2	Spam
53	0.06	0.12	0.77	0	0.19	0.32	0.38	0	0.06	0	0	0.64	0.25	0	0.12	0	0	0.12	1.7	0.06	0.7	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0.04	0.03	0	0.24	0.07	0	1.7	43	7.5E2	Spam
54	0	1.3	0	0	0	1.3	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	1.3	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0.2	0	0.2	0.6	0	3.8	17	69	Spam
55	0.73	0.36	0.73	0	0	0.73	0.73	1.1	0.36	0.36	0	0.36	0	0	0	1.1	0.36	0.36	2.2	2.2	2.2	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0.5	0.33	0	3.3	30	1.8E2	Spam
56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	1.1	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	2	30	1.1E2	Spam
57	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	3.7	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.25	0	0.62	0.06	0.06	3.3	59	1.5E2	Spam
58	0	0	1.3	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	2.5	0	5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	8	51	Spam
59	0	0.45	0.45	0	0.45	0	0	0	0	0	0	0.45	0	0	0	0.45	0	0.91	1.4	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	2.8	61	2E2	Spam
60	0	0.42	1.7	0	0.42	0	0	0	0	0	0	0.42	0	0	0	0.42	0	0.84	2.1	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0.07	0	0.67	0	0	3.8	1.2E2	2.8E2	Spam
61	0	0.59	0	0	0	0	0.59	0	0	0.59	0	0.59	0	0	0	0	0	1.2	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0	0	0	0	8.6	66	2.5E2	Spam
62	0.23	0	0.47	0	0.23	0	0	0	0	0	0	0	0	0.23	0	0.23	0.23	0	7.1	0	1.9	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71	0	0	0	0.04	0.04	0	0.17	0	0	1.3	11	66	Spam
63	0	0	0.46	0	1.4	0	0.93	0.93	0	0	0.46	0.93	0	0	0	1.4	0	0.46	0.93	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0.07	1.4	8	75	Spam
64	0	0.34	0	0	0.68	0	0.68	0	0	0.34	0.34	0	0	0	0	0.34	0	1.4	3.4	0	2.7	0	0	0	0.34	0.34	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	1.4	15	96	Spam
65	0.12	0.24	0.12	0	1.3	0.36	0	0.36	0	0	0.36	0.72	0	0	0	0	0	0	4.1	0	3	0	0.12	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0.12	0	0	0.12	0	0	0	0	0	0	0	0	0	0.06	0	0.02	0.02	0	1.7	34	1.8E2	Spam
66	0.66	0	0.66	0	0	0	0	0	0	0.66	0	0	0	0	0	2	1.3	0	1.3	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	3.2	34	1.2E2	Spam
67	0	0.48	0.48	0	1.5	0	0.48	0	0	0.97	0.48	0	0	0	0	0.48	0	0	0.97	0.48	2	0	0	0.48	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0.48	0	0	0	0	0	0	0	0	0	0.07	0	0.59	0.29	0	4.8	47	1.9E2	Spam
68	0	0	0	0	0	0	1.5	0	0	1.5	0	1.5	0	0	0	0	0	0	5.9	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.2	3	17	Spam
69	0.3	0	0.61	0	0	0	0	0	0	0.92	0.3	0.92	0.3	0.3	0	2.2	0.61	0	5.5	0	1.2	0	0	0.3	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0.1	0	1	0.35	0.25	3.9	66	3E2	Spam
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.1	0	4.6	59	1.4E2	Spam
71	0	0	0	0	1.3	0	2.5	1.3	1.3	1.3	1.3	1.3	0	0	0	0	5.1	0	2.5	1.3	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0	0	73	2.9E2	2.9E2	Spam
72	0	0.53	0.53	0	0.53	0	0	0	0	0	0	0.53	0	0	0	0.53	0	1.1	1.6	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0.88	0	0	3.4	61	1.9E2	Spam
73	0	0.44	0.89	0	0.44	0	0	0	0	0	0	0.44	0	0	0	0.44	0	0.89	2.2	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0.07	0	0.81	0	0	3.8	1.2E2	2.8E2	Spam
74	0	0.46	0.46	0	0.46	0.46	0.46	0	0	0	0.46	0.46	0	0	0	0.92	0	0.92	2.8	0	1.4	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0.46	0	0	0	0	0	0	0.3	0.22	0	2.2	13	1.1E2	Spam
75	0	0	0.48	0	1.4	0	0.48	0	0	0	0	0.96	0	0	0	0.48	0.96	0	2.4	0	2.4	0	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0	0	0	0.08	0	0.49	0.24	0	5.1	78	2.4E2	Spam
76	0	0.94	0.94	0	0	0	0	0	0	0.94	0	0	0	0	0	2.8	0	0	0.94	0	0.94	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	27	2.5E2	3.2E2	Spam
77	0	0	1.8	0	0	0	0	0	0	0	0	0.59	0	0	0	0	0	0.59	4.1	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0.17	0.08	0	2.3	16	1E2	Spam
78	0.75	0.18	0.37	0	0.18	0.12	0	0.25	0.75	0.31	0.25	1.5	0.31	0.37	0	0.37	0.44	0.12	3	0.69	1.3	0	0.44	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0.12	0	0	0.06	0	0	0	0	0	0	0.09	0.05	0.44	0.23	0.06	3.7	45	1.1E3	Spam
79	0	0.41	0.2	0	1.7	0.2	0.2	0	0	1	0.2	0	0.2	0	0	0.83	0.2	0	2.1	0	0.62	0	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0.62	0	0.2	0	0	0	0.13	0	0	1.6	15	1.8E2	Spam
80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	1.7	5	10	Spam
81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	4.1	29	1.1E2	Spam
82	0	0	0.23	0	0	0	0.23	0	0	0.95	0	0.47	0	0.23	0	0.23	0.95	0	2.4	0	1.9	0	0	0.47	0	0	0	0	0	0	0	0	0	0	0	0.23	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0.2	0	0.02	5	2.8E2	5.2E2	Spam
83	0	0.72	0.72	0	0	0	0	1.5	0	0	0.72	0	0	0	0	2.9	0	0.72	1.5	0	0	0	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0.5	0	0	1.5	8	61	Spam
84	0	0	1.3	0	1.3	1.3	0	0	0	0	0	0	0	0	0	1.3	0	0	2.6	0	1.3	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0.72	0	0	3.1	9	43	Spam
85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0.83	0	0	5.1	27	1.2E2	Spam
86	0	0.46	0.46	0	1.4	0	0.46	1.9	0	0.93	0.46	0	0	0	0	1.9	0	0	0.93	0.46	1.4	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0.46	0	0	0	0	0	0	0	0	0	0.07	0	0.57	0.21	0	4.6	64	2.1E2	Spam
87	0	0	0.38	0	1.1	0.76	0	0	0	0	0	0.38	0.38	0	0	0.38	0	0.38	2.7	0	2.3	0	0	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0.06	0.06	0	1.8	20	1.6E2	Spam
88	0	0.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79	1.6	1.6	4	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79	0	0	0	0	0.27	0	0.27	0	0	2.8	26	1.1E2	Spam
89	0.06	0.06	0.47	0	0.4	0	0	0	0.67	0.06	0	0.33	0.13	0	0	0.2	0	0	1.1	0.13	1.2	0	0	0.06	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0.06	0	0	0	0.02	0.11	0	0.1	0.09	0.01	3.3	1.4E2	8.5E2	Spam
